Threat Group,Technique Used,Mitigation,Mitigation Description
LAPSUS$,Virtual Private Server,Pre-compromise,"This category is used for any applicable mitigation activities that apply to techniques occurring before an adversary gains Initial Access, such as Reconnaissance and Resource Development techniques."
LAPSUS$,Cloud Account,Network Segmentation,"Architect sections of the network to isolate critical systems, functions, or resources. Use physical and logical segmentation to prevent access to potentially sensitive systems and information. Use a DMZ to contain any internet-facing services that should not be exposed from the internal network. Configure separate virtual private cloud (VPC) instances to isolate critical cloud systems."
LAPSUS$,Cloud Account,Multi-factor Authentication,Use two or more pieces of evidence to authenticate to a system; such as username and password in addition to a token from a physical smart card or token generator.
LAPSUS$,Cloud Account,Privileged Account Management,"Manage the creation, modification, use, and permissions associated to privileged accounts, including SYSTEM and root."
LAPSUS$,DCSync,Password Policies,Set and enforce secure password policies for accounts.
LAPSUS$,DCSync,Active Directory Configuration,"Configure Active Directory to prevent use of certain techniques; use SID Filtering, etc."
LAPSUS$,DCSync,Privileged Account Management,"Manage the creation, modification, use, and permissions associated to privileged accounts, including SYSTEM and root."
LAPSUS$,Data Destruction,Data Backup,Take and store data backups from end user systems and critical servers. Ensure backup and storage systems are hardened and kept separate from the corporate network to prevent compromise.
LAPSUS$,Data Destruction,Data Destruction Mitigation,"Consider implementing IT disaster recovery plans that contain procedures for taking regular data backups that can be used to restore organizational data.(Citation: Ready.gov IT DRP) Ensure backups are stored off system and is protected from common methods adversaries may use to gain access and destroy the backups to prevent recovery.

Identify potentially malicious software and audit and/or block it by using whitelisting(Citation: Beechey 2010) tools, like AppLocker,(Citation: Windows Commands JPCERT)(Citation: NSA MS AppLocker) or Software Restriction Policies(Citation: Corio 2008) where appropriate.(Citation: TechNet Applocker vs SRP)"
LAPSUS$,Malware,Pre-compromise,"This category is used for any applicable mitigation activities that apply to techniques occurring before an adversary gains Initial Access, such as Reconnaissance and Resource Development techniques."
APT1,Malware,Pre-compromise,"This category is used for any applicable mitigation activities that apply to techniques occurring before an adversary gains Initial Access, such as Reconnaissance and Resource Development techniques."
APT1,Data from Local System,Data from Local System Mitigation,"Identify unnecessary system utilities or potentially malicious software that may be used to collect data from the local system, and audit and/or block them by using whitelisting (Citation: Beechey 2010) tools, like AppLocker, (Citation: Windows Commands JPCERT) (Citation: NSA MS AppLocker) or Software Restriction Policies (Citation: Corio 2008) where appropriate. (Citation: TechNet Applocker vs SRP)"
APT1,Data from Local System,Data Loss Prevention,"Use a data loss prevention (DLP) strategy to categorize sensitive data, identify data formats indicative of personal identifiable information (PII), and restrict exfiltration of sensitive data.(Citation: PurpleSec Data Loss Prevention)"
APT1,Pass the Hash,Update Software,Perform regular software updates to mitigate exploitation risk.
APT1,Pass the Hash,User Account Management,"Manage the creation, modification, use, and permissions associated to user accounts."
APT1,Pass the Hash,User Account Control,Configure Windows User Account Control to mitigate risk of adversaries obtaining elevated process access.
APT1,Pass the Hash,Privileged Account Management,"Manage the creation, modification, use, and permissions associated to privileged accounts, including SYSTEM and root."
APT1,Email Accounts,Pre-compromise,"This category is used for any applicable mitigation activities that apply to techniques occurring before an adversary gains Initial Access, such as Reconnaissance and Resource Development techniques."
APT1,Domains,Pre-compromise,"This category is used for any applicable mitigation activities that apply to techniques occurring before an adversary gains Initial Access, such as Reconnaissance and Resource Development techniques."
APT1,Local Email Collection,Encrypt Sensitive Information,Protect sensitive information with strong encryption.
APT1,Remote Desktop Protocol,User Account Management,"Manage the creation, modification, use, and permissions associated to user accounts."
APT1,Remote Desktop Protocol,Limit Access to Resource Over Network,"Prevent access to file shares, remote access to systems, unnecessary services. Mechanisms to limit access may include use of network concentrators, RDP gateways, etc."
APT1,Remote Desktop Protocol,Audit,"Perform audits or scans of systems, permissions, insecure software, insecure configurations, etc. to identify potential weaknesses."
APT1,Remote Desktop Protocol,Multi-factor Authentication,Use two or more pieces of evidence to authenticate to a system; such as username and password in addition to a token from a physical smart card or token generator.
APT1,Remote Desktop Protocol,Disable or Remove Feature or Program,Remove or deny access to unnecessary and potentially vulnerable software to prevent abuse by adversaries.
APT1,Remote Desktop Protocol,Privileged Account Management,"Manage the creation, modification, use, and permissions associated to privileged accounts, including SYSTEM and root."
APT1,Remote Desktop Protocol,Network Segmentation,"Architect sections of the network to isolate critical systems, functions, or resources. Use physical and logical segmentation to prevent access to potentially sensitive systems and information. Use a DMZ to contain any internet-facing services that should not be exposed from the internal network. Configure separate virtual private cloud (VPC) instances to isolate critical cloud systems."
APT1,Remote Desktop Protocol,Operating System Configuration,Make configuration changes related to the operating system or a common feature of the operating system that result in system hardening against techniques.
APT1,LSASS Memory,User Training,"Train users to be aware of access or manipulation attempts by an adversary to reduce the risk of successful spearphishing, social engineering, and other techniques that involve user interaction."
APT1,LSASS Memory,Password Policies,Set and enforce secure password policies for accounts.
APT1,LSASS Memory,Operating System Configuration,Make configuration changes related to the operating system or a common feature of the operating system that result in system hardening against techniques.
APT1,LSASS Memory,Privileged Account Management,"Manage the creation, modification, use, and permissions associated to privileged accounts, including SYSTEM and root."
APT1,LSASS Memory,Behavior Prevention on Endpoint,"Use capabilities to prevent suspicious behavior patterns from occurring on endpoint systems. This could include suspicious process, file, API call, etc. behavior."
APT1,LSASS Memory,Credential Access Protection,Use capabilities to prevent successful credential access by adversaries; including blocking forms of credential dumping.
APT1,LSASS Memory,Privileged Process Integrity,"Protect processes with high privileges that can be used to interact with critical system components through use of protected process light, anti-process injection defenses, or other process integrity enforcement measures."
APT1,Automated Collection,Remote Data Storage,Use remote security log and sensitive file storage where access can be controlled better to prevent exposure of intrusion detection log data or sensitive information.
APT1,Automated Collection,Encrypt Sensitive Information,Protect sensitive information with strong encryption.
APT1,Automated Collection,Automated Collection Mitigation,"Encryption and off-system storage of sensitive information may be one way to mitigate collection of files, but may not stop an adversary from acquiring the information if an intrusion persists over a long period of time and the adversary is able to discover and access the data through other means. A keylogger installed on a system may be able to intercept passwords through [Input Capture](https://attack.mitre.org/techniques/T1056) and be used to decrypt protected documents that an adversary may have collected. Strong passwords should be used to prevent offline cracking of encrypted documents through [Brute Force](https://attack.mitre.org/techniques/T1110) techniques.

Identify unnecessary system utilities, third-party tools, or potentially malicious software that may be used to collect files and audit and/or block them by using whitelisting (Citation: Beechey 2010) tools, like AppLocker, (Citation: Windows Commands JPCERT) (Citation: NSA MS AppLocker) or Software Restriction Policies (Citation: Corio 2008) where appropriate. (Citation: TechNet Applocker vs SRP)"
APT1,Local Account,Operating System Configuration,Make configuration changes related to the operating system or a common feature of the operating system that result in system hardening against techniques.
APT1,Windows Command Shell,Execution Prevention,"Block execution of code on a system through application control, and/or script blocking."
APT1,Domains,Pre-compromise,"This category is used for any applicable mitigation activities that apply to techniques occurring before an adversary gains Initial Access, such as Reconnaissance and Resource Development techniques."
APT1,Match Legitimate Name or Location,Restrict File and Directory Permissions,Restrict access by setting directory and file permissions that are not specific to users or privileged accounts.
APT1,Match Legitimate Name or Location,Execution Prevention,"Block execution of code on a system through application control, and/or script blocking."
APT1,Match Legitimate Name or Location,Code Signing,Enforce binary and application integrity with digital signature verification to prevent untrusted code from executing.
APT1,Network Share Discovery,Network Share Discovery Mitigation,"Identify unnecessary system utilities or potentially malicious software that may be used to acquire network share information, and audit and/or block them by using whitelisting (Citation: Beechey 2010) tools, like AppLocker, (Citation: Windows Commands JPCERT) (Citation: NSA MS AppLocker) or Software Restriction Policies (Citation: Corio 2008) where appropriate. (Citation: TechNet Applocker vs SRP)"
APT1,Network Share Discovery,Operating System Configuration,Make configuration changes related to the operating system or a common feature of the operating system that result in system hardening against techniques.
APT1,System Network Configuration Discovery,System Network Configuration Discovery Mitigation,"Identify unnecessary system utilities or potentially malicious software that may be used to acquire information about a system's network configuration, and audit and/or block them by using whitelisting (Citation: Beechey 2010) tools, like AppLocker, (Citation: Windows Commands JPCERT) (Citation: NSA MS AppLocker) or Software Restriction Policies (Citation: Corio 2008) where appropriate. (Citation: TechNet Applocker vs SRP)"
APT1,System Network Connections Discovery,System Network Connections Discovery Mitigation,"Identify unnecessary system utilities or potentially malicious software that may be used to acquire information about network connections, and audit and/or block them by using whitelisting (Citation: Beechey 2010) tools, like AppLocker, (Citation: Windows Commands JPCERT) (Citation: NSA MS AppLocker) or Software Restriction Policies (Citation: Corio 2008) where appropriate. (Citation: TechNet Applocker vs SRP)"
APT1,Spearphishing Attachment,Restrict Web-Based Content,"Restrict use of certain websites, block downloads/attachments, block Javascript, restrict browser extensions, etc."
APT1,Spearphishing Attachment,Antivirus/Antimalware,Use signatures or heuristics to detect malicious software.
APT1,Spearphishing Attachment,Software Configuration,Implement configuration changes to software (other than the operating system) to mitigate security risks associated to how the software operates.
APT1,Spearphishing Attachment,User Training,"Train users to be aware of access or manipulation attempts by an adversary to reduce the risk of successful spearphishing, social engineering, and other techniques that involve user interaction."
APT1,Spearphishing Attachment,Network Intrusion Prevention,Use intrusion detection signatures to block traffic at network boundaries.
APT1,Process Discovery,Process Discovery Mitigation,"Identify unnecessary system utilities or potentially malicious software that may be used to acquire information about processes, and audit and/or block them by using whitelisting (Citation: Beechey 2010) tools, like AppLocker, (Citation: Windows Commands JPCERT) (Citation: NSA MS AppLocker) or Software Restriction Policies (Citation: Corio 2008) where appropriate. (Citation: TechNet Applocker vs SRP)"
APT1,Tool,Pre-compromise,"This category is used for any applicable mitigation activities that apply to techniques occurring before an adversary gains Initial Access, such as Reconnaissance and Resource Development techniques."
APT1,Spearphishing Link,Restrict Web-Based Content,"Restrict use of certain websites, block downloads/attachments, block Javascript, restrict browser extensions, etc."
APT1,Spearphishing Link,User Training,"Train users to be aware of access or manipulation attempts by an adversary to reduce the risk of successful spearphishing, social engineering, and other techniques that involve user interaction."
APT1,Spearphishing Link,User Account Management,"Manage the creation, modification, use, and permissions associated to user accounts."
APT1,Spearphishing Link,Audit,"Perform audits or scans of systems, permissions, insecure software, insecure configurations, etc. to identify potential weaknesses."
APT1,Spearphishing Link,Software Configuration,Implement configuration changes to software (other than the operating system) to mitigate security risks associated to how the software operates.
APT1,System Service Discovery,System Service Discovery Mitigation,"Identify unnecessary system utilities or potentially malicious software that may be used to acquire information about services, and audit and/or block them by using whitelisting (Citation: Beechey 2010) tools, like AppLocker, (Citation: Windows Commands JPCERT) (Citation: NSA MS AppLocker) or Software Restriction Policies (Citation: Corio 2008) where appropriate. (Citation: TechNet Applocker vs SRP)"
APT1,Remote Email Collection,Encrypt Sensitive Information,Protect sensitive information with strong encryption.
APT1,Remote Email Collection,Multi-factor Authentication,Use two or more pieces of evidence to authenticate to a system; such as username and password in addition to a token from a physical smart card or token generator.
APT1,Archive via Utility,Audit,"Perform audits or scans of systems, permissions, insecure software, insecure configurations, etc. to identify potential weaknesses."
APT18,At,Audit,"Perform audits or scans of systems, permissions, insecure software, insecure configurations, etc. to identify potential weaknesses."
APT18,At,Operating System Configuration,Make configuration changes related to the operating system or a common feature of the operating system that result in system hardening against techniques.
APT18,At,Privileged Account Management,"Manage the creation, modification, use, and permissions associated to privileged accounts, including SYSTEM and root."
APT18,At,User Account Management,"Manage the creation, modification, use, and permissions associated to user accounts."
APT18,Obfuscated Files or Information,Antivirus/Antimalware,Use signatures or heuristics to detect malicious software.
APT18,Obfuscated Files or Information,Behavior Prevention on Endpoint,"Use capabilities to prevent suspicious behavior patterns from occurring on endpoint systems. This could include suspicious process, file, API call, etc. behavior."
APT18,File and Directory Discovery,File and Directory Discovery Mitigation,"File system activity is a common part of an operating system, so it is unlikely that mitigation would be appropriate for this technique. It may still be beneficial to identify and block unnecessary system utilities or potentially malicious software by using whitelisting (Citation: Beechey 2010) tools, like AppLocker, (Citation: Windows Commands JPCERT) (Citation: NSA MS AppLocker) or Software Restriction Policies (Citation: Corio 2008) where appropriate. (Citation: TechNet Applocker vs SRP)"
APT18,DNS,Filter Network Traffic,Use network appliances to filter ingress or egress traffic and perform protocol-based filtering. Configure software on endpoints to filter network traffic.
APT18,DNS,Network Intrusion Prevention,Use intrusion detection signatures to block traffic at network boundaries.
APT18,Ingress Tool Transfer,Remote File Copy Mitigation,"Network intrusion detection and prevention systems that use network signatures to identify traffic for specific adversary malware or unusual data transfer over known tools and protocols like FTP can be used to mitigate activity at the network level. Signatures are often for unique indicators within protocols and may be based on the specific obfuscation technique used by a particular adversary or tool, and will likely be different across various malware families and versions. Adversaries will likely change tool C2 signatures over time or construct protocols in such a way as to avoid detection by common defensive tools. (Citation: University of Birmingham C2)"
APT18,Ingress Tool Transfer,Network Intrusion Prevention,Use intrusion detection signatures to block traffic at network boundaries.
APT18,Windows Command Shell,Execution Prevention,"Block execution of code on a system through application control, and/or script blocking."
APT18,External Remote Services,Limit Access to Resource Over Network,"Prevent access to file shares, remote access to systems, unnecessary services. Mechanisms to limit access may include use of network concentrators, RDP gateways, etc."
APT18,External Remote Services,Network Segmentation,"Architect sections of the network to isolate critical systems, functions, or resources. Use physical and logical segmentation to prevent access to potentially sensitive systems and information. Use a DMZ to contain any internet-facing services that should not be exposed from the internal network. Configure separate virtual private cloud (VPC) instances to isolate critical cloud systems."
APT18,External Remote Services,Disable or Remove Feature or Program,Remove or deny access to unnecessary and potentially vulnerable software to prevent abuse by adversaries.
APT18,External Remote Services,Multi-factor Authentication,Use two or more pieces of evidence to authenticate to a system; such as username and password in addition to a token from a physical smart card or token generator.
APT18,External Remote Services,External Remote Services Mitigation,"Limit access to remote services through centrally managed concentrators such as VPNs and other managed remote access systems. Deny direct remote access to internal systems through the use of network proxies, gateways, and firewalls. Disable or block remotely available services such as [Windows Remote Management](https://attack.mitre.org/techniques/T1028). Use strong two-factor or multi-factor authentication for remote service accounts to mitigate an adversary's ability to leverage stolen credentials, but be aware of [Multi-Factor Authentication Interception](https://attack.mitre.org/techniques/T1111) techniques for some two-factor authentication implementations."
APT18,Web Protocols,Network Intrusion Prevention,Use intrusion detection signatures to block traffic at network boundaries.
APT18,System Information Discovery,System Information Discovery Mitigation,"Identify unnecessary system utilities or potentially malicious software that may be used to acquire information about the operating system and underlying hardware, and audit and/or block them by using whitelisting (Citation: Beechey 2010) tools, like AppLocker, (Citation: Windows Commands JPCERT) (Citation: NSA MS AppLocker) or Software Restriction Policies (Citation: Corio 2008) where appropriate. (Citation: TechNet Applocker vs SRP)"
APT18,Valid Accounts,Password Policies,Set and enforce secure password policies for accounts.
APT18,Valid Accounts,User Account Management,"Manage the creation, modification, use, and permissions associated to user accounts."
APT18,Valid Accounts,Privileged Account Management,"Manage the creation, modification, use, and permissions associated to privileged accounts, including SYSTEM and root."
APT18,Valid Accounts,User Training,"Train users to be aware of access or manipulation attempts by an adversary to reduce the risk of successful spearphishing, social engineering, and other techniques that involve user interaction."
APT18,Valid Accounts,Application Developer Guidance,This mitigation describes any guidance or training given to developers of applications to avoid introducing security weaknesses that an adversary may be able to take advantage of.
APT18,Valid Accounts,Valid Accounts Mitigation,"Take measures to detect or prevent techniques such as [OS Credential Dumping](https://attack.mitre.org/techniques/T1003) or installation of keyloggers to acquire credentials through [Input Capture](https://attack.mitre.org/techniques/T1056). Limit credential overlap across systems to prevent access if account credentials are obtained. Ensure that local administrator accounts have complex, unique passwords across all systems on the network. Do not put user or admin domain accounts in the local administrator groups across systems unless they are tightly controlled and use of accounts is segmented, as this is often equivalent to having a local administrator account with the same password on all systems. 

Follow best practices for design and administration of an enterprise network to limit privileged account use across administrative tiers. (Citation: Microsoft Securing Privileged Access) 

Audit domain and local accounts as well as their permission levels routinely to look for situations that could allow an adversary to gain wide access by obtaining credentials of a privileged account. (Citation: TechNet Credential Theft) (Citation: TechNet Least Privilege) These audits should also include if default accounts have been enabled, or if new local accounts are created that have not be authorized. 

Applications and appliances that utilize default username and password should be changed immediately after the installation, and before deployment to a production environment. (Citation: US-CERT Alert TA13-175A Risks of Default Passwords on the Internet) When possible, applications that use SSH keys should be updated periodically and properly secured. "
APT18,File Deletion,File Deletion Mitigation,"Identify unnecessary system utilities, third-party tools, or potentially malicious software that may be used to delete files, and audit and/or block them by using whitelisting (Citation: Beechey 2010) tools like AppLocker (Citation: Windows Commands JPCERT) (Citation: NSA MS AppLocker) or Software Restriction Policies (Citation: Corio 2008) where appropriate. (Citation: TechNet Applocker vs SRP)"
Winnti Group,Rootkit,Rootkit Mitigation,"Identify potentially malicious software that may contain rootkit functionality, and audit and/or block it by using whitelisting (Citation: Beechey 2010) tools, like AppLocker, (Citation: Windows Commands JPCERT) (Citation: NSA MS AppLocker) or Software Restriction Policies (Citation: Corio 2008) where appropriate. (Citation: TechNet Applocker vs SRP)"
Winnti Group,Ingress Tool Transfer,Remote File Copy Mitigation,"Network intrusion detection and prevention systems that use network signatures to identify traffic for specific adversary malware or unusual data transfer over known tools and protocols like FTP can be used to mitigate activity at the network level. Signatures are often for unique indicators within protocols and may be based on the specific obfuscation technique used by a particular adversary or tool, and will likely be different across various malware families and versions. Adversaries will likely change tool C2 signatures over time or construct protocols in such a way as to avoid detection by common defensive tools. (Citation: University of Birmingham C2)"
Winnti Group,Ingress Tool Transfer,Network Intrusion Prevention,Use intrusion detection signatures to block traffic at network boundaries.
Winnti Group,File and Directory Discovery,File and Directory Discovery Mitigation,"File system activity is a common part of an operating system, so it is unlikely that mitigation would be appropriate for this technique. It may still be beneficial to identify and block unnecessary system utilities or potentially malicious software by using whitelisting (Citation: Beechey 2010) tools, like AppLocker, (Citation: Windows Commands JPCERT) (Citation: NSA MS AppLocker) or Software Restriction Policies (Citation: Corio 2008) where appropriate. (Citation: TechNet Applocker vs SRP)"
Winnti Group,Process Discovery,Process Discovery Mitigation,"Identify unnecessary system utilities or potentially malicious software that may be used to acquire information about processes, and audit and/or block them by using whitelisting (Citation: Beechey 2010) tools, like AppLocker, (Citation: Windows Commands JPCERT) (Citation: NSA MS AppLocker) or Software Restriction Policies (Citation: Corio 2008) where appropriate. (Citation: TechNet Applocker vs SRP)"
Winnti Group,Domains,Pre-compromise,"This category is used for any applicable mitigation activities that apply to techniques occurring before an adversary gains Initial Access, such as Reconnaissance and Resource Development techniques."
APT19,Standard Encoding,Network Intrusion Prevention,Use intrusion detection signatures to block traffic at network boundaries.
APT19,Hidden Window,Execution Prevention,"Block execution of code on a system through application control, and/or script blocking."
APT19,Obfuscated Files or Information,Antivirus/Antimalware,Use signatures or heuristics to detect malicious software.
APT19,Obfuscated Files or Information,Behavior Prevention on Endpoint,"Use capabilities to prevent suspicious behavior patterns from occurring on endpoint systems. This could include suspicious process, file, API call, etc. behavior."
APT19,Command and Scripting Interpreter,Antivirus/Antimalware,Use signatures or heuristics to detect malicious software.
APT19,Command and Scripting Interpreter,Execution Prevention,"Block execution of code on a system through application control, and/or script blocking."
APT19,Command and Scripting Interpreter,Restrict Web-Based Content,"Restrict use of certain websites, block downloads/attachments, block Javascript, restrict browser extensions, etc."
APT19,Command and Scripting Interpreter,Disable or Remove Feature or Program,Remove or deny access to unnecessary and potentially vulnerable software to prevent abuse by adversaries.
APT19,Command and Scripting Interpreter,Behavior Prevention on Endpoint,"Use capabilities to prevent suspicious behavior patterns from occurring on endpoint systems. This could include suspicious process, file, API call, etc. behavior."
APT19,Command and Scripting Interpreter,Code Signing,Enforce binary and application integrity with digital signature verification to prevent untrusted code from executing.
APT19,Command and Scripting Interpreter,Privileged Account Management,"Manage the creation, modification, use, and permissions associated to privileged accounts, including SYSTEM and root."
APT19,Malicious File,Behavior Prevention on Endpoint,"Use capabilities to prevent suspicious behavior patterns from occurring on endpoint systems. This could include suspicious process, file, API call, etc. behavior."
APT19,Malicious File,User Training,"Train users to be aware of access or manipulation attempts by an adversary to reduce the risk of successful spearphishing, social engineering, and other techniques that involve user interaction."
APT19,Malicious File,Execution Prevention,"Block execution of code on a system through application control, and/or script blocking."
APT19,Tool,Pre-compromise,"This category is used for any applicable mitigation activities that apply to techniques occurring before an adversary gains Initial Access, such as Reconnaissance and Resource Development techniques."
APT19,Windows Service,Code Signing,Enforce binary and application integrity with digital signature verification to prevent untrusted code from executing.
APT19,Windows Service,Behavior Prevention on Endpoint,"Use capabilities to prevent suspicious behavior patterns from occurring on endpoint systems. This could include suspicious process, file, API call, etc. behavior."
APT19,Windows Service,Operating System Configuration,Make configuration changes related to the operating system or a common feature of the operating system that result in system hardening against techniques.
APT19,Windows Service,User Account Management,"Manage the creation, modification, use, and permissions associated to user accounts."
APT19,Windows Service,Audit,"Perform audits or scans of systems, permissions, insecure software, insecure configurations, etc. to identify potential weaknesses."
APT19,Rundll32,Exploit Protection,Use capabilities to detect and block conditions that may lead to or be indicative of a software exploit occurring.
APT19,System Network Configuration Discovery,System Network Configuration Discovery Mitigation,"Identify unnecessary system utilities or potentially malicious software that may be used to acquire information about a system's network configuration, and audit and/or block them by using whitelisting (Citation: Beechey 2010) tools, like AppLocker, (Citation: Windows Commands JPCERT) (Citation: NSA MS AppLocker) or Software Restriction Policies (Citation: Corio 2008) where appropriate. (Citation: TechNet Applocker vs SRP)"
APT19,PowerShell,Execution Prevention,"Block execution of code on a system through application control, and/or script blocking."
APT19,PowerShell,Code Signing,Enforce binary and application integrity with digital signature verification to prevent untrusted code from executing.
APT19,PowerShell,Privileged Account Management,"Manage the creation, modification, use, and permissions associated to privileged accounts, including SYSTEM and root."
APT19,PowerShell,Disable or Remove Feature or Program,Remove or deny access to unnecessary and potentially vulnerable software to prevent abuse by adversaries.
APT19,PowerShell,Antivirus/Antimalware,Use signatures or heuristics to detect malicious software.
APT19,DLL Side-Loading,Update Software,Perform regular software updates to mitigate exploitation risk.
APT19,DLL Side-Loading,Application Developer Guidance,This mitigation describes any guidance or training given to developers of applications to avoid introducing security weaknesses that an adversary may be able to take advantage of.
APT19,System Owner/User Discovery,System Owner/User Discovery Mitigation,"Identify unnecessary system utilities or potentially malicious software that may be used to acquire information about system users, and audit and/or block them by using whitelisting (Citation: Beechey 2010) tools, like AppLocker, (Citation: Windows Commands JPCERT) (Citation: NSA MS AppLocker) or Software Restriction Policies (Citation: Corio 2008) where appropriate. (Citation: TechNet Applocker vs SRP)"
APT19,Web Protocols,Network Intrusion Prevention,Use intrusion detection signatures to block traffic at network boundaries.
APT19,Deobfuscate/Decode Files or Information,Deobfuscate/Decode Files or Information Mitigation,"Identify unnecessary system utilities or potentially malicious software that may be used to deobfuscate or decode files or information, and audit and/or block them by using whitelisting (Citation: Beechey 2010) tools, like AppLocker, (Citation: Windows Commands JPCERT) (Citation: NSA MS AppLocker) or Software Restriction Policies (Citation: Corio 2008) where appropriate. (Citation: TechNet Applocker vs SRP)"
APT19,Spearphishing Attachment,Restrict Web-Based Content,"Restrict use of certain websites, block downloads/attachments, block Javascript, restrict browser extensions, etc."
APT19,Spearphishing Attachment,Antivirus/Antimalware,Use signatures or heuristics to detect malicious software.
APT19,Spearphishing Attachment,Software Configuration,Implement configuration changes to software (other than the operating system) to mitigate security risks associated to how the software operates.
APT19,Spearphishing Attachment,User Training,"Train users to be aware of access or manipulation attempts by an adversary to reduce the risk of successful spearphishing, social engineering, and other techniques that involve user interaction."
APT19,Spearphishing Attachment,Network Intrusion Prevention,Use intrusion detection signatures to block traffic at network boundaries.
APT19,System Information Discovery,System Information Discovery Mitigation,"Identify unnecessary system utilities or potentially malicious software that may be used to acquire information about the operating system and underlying hardware, and audit and/or block them by using whitelisting (Citation: Beechey 2010) tools, like AppLocker, (Citation: Windows Commands JPCERT) (Citation: NSA MS AppLocker) or Software Restriction Policies (Citation: Corio 2008) where appropriate. (Citation: TechNet Applocker vs SRP)"
APT19,Modify Registry,Modify Registry Mitigation,"Misconfiguration of permissions in the Registry may lead to opportunities for an adversary to execute code, like through [Service Registry Permissions Weakness](https://attack.mitre.org/techniques/T1058). Ensure proper permissions are set for Registry hives to prevent users from modifying keys for system components that may lead to privilege escalation.

Identify and block unnecessary system utilities or potentially malicious software that may be used to modify the Registry by using whitelisting (Citation: Beechey 2010) tools like AppLocker (Citation: Windows Commands JPCERT) (Citation: NSA MS AppLocker) or Software Restriction Policies (Citation: Corio 2008) where appropriate. (Citation: TechNet Applocker vs SRP)"
APT19,Modify Registry,Restrict Registry Permissions,Restrict the ability to modify certain hives or keys in the Windows Registry.
APT19,Regsvr32,Exploit Protection,Use capabilities to detect and block conditions that may lead to or be indicative of a software exploit occurring.
APT19,Drive-by Compromise,Update Software,Perform regular software updates to mitigate exploitation risk.
APT19,Drive-by Compromise,Exploit Protection,Use capabilities to detect and block conditions that may lead to or be indicative of a software exploit occurring.
APT19,Drive-by Compromise,Drive-by Compromise Mitigation,"Drive-by compromise relies on there being a vulnerable piece of software on the client end systems. Use modern browsers with security features turned on. Ensure all browsers and plugins kept updated can help prevent the exploit phase of this technique.

For malicious code served up through ads, adblockers can help prevent that code from executing in the first place. Script blocking extensions can help prevent the execution of JavaScript that may commonly be used during the exploitation process.

Browser sandboxes can be used to mitigate some of the impact of exploitation, but sandbox escapes may still exist. (Citation: Windows Blogs Microsoft Edge Sandbox) (Citation: Ars Technica Pwn2Own 2017 VM Escape)

Other types of virtualization and application microsegmentation may also mitigate the impact of client-side exploitation. The risks of additional exploits and weaknesses in implementation may still exist. (Citation: Ars Technica Pwn2Own 2017 VM Escape)

Security applications that look for behavior used during exploitation such as Windows Defender Exploit Guard (WDEG) and the Enhanced Mitigation Experience Toolkit (EMET) can be used to mitigate some exploitation behavior. (Citation: TechNet Moving Beyond EMET) Control flow integrity checking is another way to potentially identify and stop a software exploit from occurring. (Citation: Wikipedia Control Flow Integrity) Many of these protections depend on the architecture and target application binary for compatibility."
APT19,Drive-by Compromise,Restrict Web-Based Content,"Restrict use of certain websites, block downloads/attachments, block Javascript, restrict browser extensions, etc."
APT19,Drive-by Compromise,Application Isolation and Sandboxing,Restrict execution of code to a virtual environment on or in transit to an endpoint system.
EXOTIC LILY,Malicious File,Behavior Prevention on Endpoint,"Use capabilities to prevent suspicious behavior patterns from occurring on endpoint systems. This could include suspicious process, file, API call, etc. behavior."
EXOTIC LILY,Malicious File,User Training,"Train users to be aware of access or manipulation attempts by an adversary to reduce the risk of successful spearphishing, social engineering, and other techniques that involve user interaction."
EXOTIC LILY,Malicious File,Execution Prevention,"Block execution of code on a system through application control, and/or script blocking."
EXOTIC LILY,Spearphishing Attachment,Restrict Web-Based Content,"Restrict use of certain websites, block downloads/attachments, block Javascript, restrict browser extensions, etc."
EXOTIC LILY,Spearphishing Attachment,Antivirus/Antimalware,Use signatures or heuristics to detect malicious software.
EXOTIC LILY,Spearphishing Attachment,Software Configuration,Implement configuration changes to software (other than the operating system) to mitigate security risks associated to how the software operates.
EXOTIC LILY,Spearphishing Attachment,User Training,"Train users to be aware of access or manipulation attempts by an adversary to reduce the risk of successful spearphishing, social engineering, and other techniques that involve user interaction."
EXOTIC LILY,Spearphishing Attachment,Network Intrusion Prevention,Use intrusion detection signatures to block traffic at network boundaries.
EXOTIC LILY,Email Addresses,Pre-compromise,"This category is used for any applicable mitigation activities that apply to techniques occurring before an adversary gains Initial Access, such as Reconnaissance and Resource Development techniques."
EXOTIC LILY,Domains,Pre-compromise,"This category is used for any applicable mitigation activities that apply to techniques occurring before an adversary gains Initial Access, such as Reconnaissance and Resource Development techniques."
EXOTIC LILY,Search Victim-Owned Websites,Pre-compromise,"This category is used for any applicable mitigation activities that apply to techniques occurring before an adversary gains Initial Access, such as Reconnaissance and Resource Development techniques."
EXOTIC LILY,Social Media,Pre-compromise,"This category is used for any applicable mitigation activities that apply to techniques occurring before an adversary gains Initial Access, such as Reconnaissance and Resource Development techniques."
EXOTIC LILY,Spearphishing Link,Restrict Web-Based Content,"Restrict use of certain websites, block downloads/attachments, block Javascript, restrict browser extensions, etc."
EXOTIC LILY,Spearphishing Link,User Training,"Train users to be aware of access or manipulation attempts by an adversary to reduce the risk of successful spearphishing, social engineering, and other techniques that involve user interaction."
